Time,X-Acceleration,Y-Acceleration,Z-Acceleration,X-Velocity,Y-Velocity,Z-Velocity,Composite-Acceleration,Composite-Velocity,Temperature Z,Temperature-XYZ
00:00.0,14.9375,17.640625,12.1015625,2.09375,2.005859375,1.864257813,19.1875,3.447265625,19.625,19.625
00:00.0,14.359375,17.53125,10.734375,2.13671875,1.793945313,2.33984375,20.0625,3.640625,19.75,19.75
00:00.0,13.40625,13.4453125,10.7265625,1.702148438,1.774414063,1.696289063,17.390625,2.986328125,19.5625,19.5625
00:00.0,13.28125,12.8984375,11.7265625,1.73046875,1.786132813,1.510742188,16.09375,2.91015625,19.9375,19.9375
00:00.0,16.125,17.71875,9.65625,1.642578125,1.6875,1.479492188,19.796875,2.78125,20.5,20.5
00:00.0,16.015625,15.3203125,11.109375,2.01953125,1.838867188,1.834960938,21.96875,3.291015625,21.0625,21.0625
00:00.0,17.859375,13.7109375,9.96875,1.916992188,1.809570313,1.877929688,18.234375,3.236328125,21.625,21.625
00:00.0,15.3984375,13.625,11.921875,2.0546875,1.678710938,1.815429688,18.375,3.21484375,22.8125,22.8125
00:00.0,13.6328125,17.75,12.21875,2.0546875,1.64453125,1.90234375,22.6875,3.248046875,23.5,23.5
00:00.0,14.015625,20.453125,12.5390625,1.971679688,2.21875,2.947265625,22.21875,4.18359375,24.1875,24.1875
00:00.0,13.890625,16.3125,9.4609375,1.958984375,1.9140625,1.690429688,21.234375,3.21875,24.75,24.75
00:00.0,15.1171875,18.609375,9.7421875,2.08203125,1.88671875,2.041015625,19.109375,3.47265625,25.3125,25.3125
00:00.0,13.703125,15.2578125,10.9140625,2.81640625,2.099609375,2.470703125,16.390625,4.296875,25.4375,25.4375
00:00.0,13.4921875,19.078125,11.75,2.107421875,1.862304688,2.265625,22.21875,3.611328125,25,25
00:00.0,20.625,13.390625,11.3125,1.956054688,1.6171875,2.38671875,21.453125,3.484375,24.3125,24.3125
00:00.0,13.8828125,14.5390625,13.8203125,2.029296875,1.83203125,2.533203125,17.0625,3.7265625,23.5,23.5
00:00.0,16.59375,14.4375,10.65625,2.26953125,1.954101563,2.80078125,18.4375,4.09765625,22.9375,22.9375
00:00.0,13.4765625,15.2109375,11.5703125,2.013671875,1.798828125,2.845703125,16.765625,3.923828125,22.4375,22.4375
00:00.0,14.8515625,14.390625,10.3046875,1.529296875,1.774414063,1.366210938,17.0625,2.7109375,22.3125,22.3125
00:00.0,12.625,15.2421875,13.453125,1.951171875,2.095703125,2.595703125,18.625,3.865234375,22.3125,22.3125
00:00.0,16.3125,12.2265625,9.9765625,1.845703125,1.557617188,1.6875,17.15625,2.947265625,22.3125,22.3125
00:00.0,12.3359375,12.390625,9.8046875,1.700195313,1.712890625,1.7578125,15.5,2.986328125,22.25,22.25
